Date,Close,Turnover volume
20150729,70.7,29569
20150730,70.4,35553
20150731,71.6,33671
20150803,74.4,55215
20150804,74,21900
20150805,75.1,62395
20150806,75,20745
20150807,74.1,11607
20150810,74.1,19414
20150811,73.6,17951
20150812,70.6,26332
20150813,72.7,25747
20150814,72.9,9145
20150817,72,20545
20150818,71.9,32056
20150819,71.6,36788
20150820,69.7,29899
20150821,67.9,29885
20150824,63.3,113474
20150825,65.9,36262
20150826,66,23619
20150827,68.4,17691
20150828,68.6,19249
20150831,69.6,14644
20150901,67.7,21668
20150902,66.4,15973
20150903,67.5,19087
20150904,66.5,23323
20150907,67.5,8308
20150908,69.3,7924
20150909,71.2,20366
20150910,72.2,36058
20150911,71.5,12267
20150914,69.7,8358
20150915,70,10809
20150916,72.1,27514
20150917,72.4,15414
20150918,71.8,55521
20150921,72.8,12017
20150922,71.5,16088
20150923,71.8,18268
20150924,68.4,35836
20150925,68.5,21328
20150928,67.6,12857
20150929,65.5,52813
20150930,68.7,21741
20151001,68,41999
20151002,69.2,16367
20151005,70.3,12464
20151006,69.6,47920
20151007,68.2,21002
20151008,68,41040
20151009,68.7,22646
20151012,68.4,24641
20151013,68.1,14320
20151014,68.1,14123
20151015,68.1,10328
20151016,68.6,14003
20151019,68.7,18717
20151020,67.9,208570
20151021,66.7,51913
20151022,66.4,33844
20151023,67.5,16541
20151026,68,13239
20151027,66.8,14260
20151028,67.2,24685
20151029,67.4,17936
20151030,67.4,20774
20151102,70.5,32270
20151103,69.3,59826
20151104,69,17871
20151105,68.3,50363
20151106,70.2,520743
20151109,71.3,29783
20151110,71.5,10557
20151111,73.1,23912
20151112,72.6,36302
20151113,71.1,16742
20151116,71.1,16742
20151119,73.3,7862
20151120,73.6,8626
20151123,73.5,6021
20151124,71.5,61050
20151125,71.5,61050
20151128,73.4,67091
20151130,73.4,67091
20151205,78.6,32994
20151207,78.6,32994
20151212,76.6,56104
20151214,76.6,56104
20151216,76,91602
20151217,76,91602
20151219,72.8,42430
20151221,72.8,17194
20151222,72.8,17194
20151224,73.5,17931
20151228,73.5,17931
20151231,73.5,19200
20160104,73.5,19200
20160106,72.6,24365
20160107,72.6,24365
20160109,70.6,57845
20160111,70.1,65664
20160112,72.2,74156
20160113,73.8,36799
20160114,72.3,59699
20160115,69.4,60633
20160118,66.6,46330
20160119,66.9,24886
20160120,66,32905
20160121,65.8,35366
20160122,66,66704
20160125,65.3,46298
20160126,64.6,44852
20160127,65,54407
20160128,63.7,32674
20160129,64.5,57607
20160201,65.6,48247
20160202,65.2,55195
20160203,64,88066
20160204,64.4,62323
20160205,63.5,49558
20160208,60.4,49844
20160209,59.4,73476
20160210,61.4,22184
20160211,60,69959
20160212,61.3,15110
20160215,64,33958
20160216,63.1,21707
20160217,65.5,14808
20160218,66,23626
20160219,65.7,64128
20160222,66.5,18697
20160223,66.4,53172
20160224,66.1,42138
20160225,67,11388
20160226,65.7,10873
20160229,66.7,33968
20160301,67.6,6757
20160302,66.9,12454
20160303,66.5,9460
20160304,67.7,23876
20160307,67.7,14558
20160308,65.4,17631
20160309,65.8,40461
20160310,67.4,40850
20160311,67.1,22988
20160314,68.5,19649
20160315,67.8,11980
20160316,67.2,36382
20160317,67,10794
20160318,67.1,20483
20160321,69.1,19080
20160322,69.5,10598
20160323,70.6,16655
20160324,70.4,12603
20160329,71.8,22322
20160330,72.9,21436
20160331,72.4,39745
20160401,72.6,13431
20160404,72.2,15860
20160405,70.2,45170
20160406,65.6,97163
20160407,63.7,28874
20160408,62.5,68889
20160411,62.2,22913
20160412,61.4,49313
20160413,63.6,52662
20160414,63.6,25373
20160415,62.6,19002
20160418,63,18217
20160419,65.2,111663
20160420,64.8,46434
20160421,64,42867
20160422,63.6,33651
20160425,63.2,21912
20160426,63.4,37610
20160427,63.3,35968
20160428,63.3,20481
20160429,63.1,15820
20160502,61.4,378949
20160503,60.4,26820
20160504,60.7,11651
20160506,60.4,53548
20160509,61.8,18696
20160510,62.6,47920
20160511,61.6,151855
20160512,60.7,15009
20160513,61.4,18396
20160516,60.5,29304
20160517,60.2,19157
20160518,61.2,219150
20160519,62.4,19386
20160520,63.3,34525
20160523,65.5,50331
20160524,67.8,42283
20160525,68.5,38378
20160526,68.7,23852
20160527,67.8,64369
20160530,67.4,14612
20160531,68.2,26008
20160601,67.1,13734
20160602,65.9,149948
20160603,65.4,16081
20160607,65.6,16351
20160608,66.6,24884
20160609,66.5,28580
20160610,65.1,16513
20160613,62.9,16140
20160614,61.3,19982
20160615,61.4,28724
20160616,60.1,117028
20160617,61.7,54003
20160620,64.6,24823
20160621,65,29961
20160622,65.4,20776
20160623,66.8,105184
20160627,62.8,89130
20160628,63.6,47579
20160629,65.7,14714
20160630,64.6,43234
20160701,64.7,21028
20160704,64.3,15119
20160705,61.8,21755
20160706,60,53284
20160707,60.4,15421
20160708,60.8,68425
20160711,64.3,35000
20160712,62.9,27808
20160713,61.1,37885
20160714,60.4,39784
20160715,59.4,60591
20160718,59.7,29687
20160719,60,80572
20160720,60.2,37691
20160721,60.2,21234
20160722,60,13701
20160725,60.2,22214
20160726,60,24107
20160727,60.8,21795
20160728,60.1,10017
20160729,61.2,56839
20160801,60.7,37647
20160802,58.8,47138
20160803,58.4,21340
20160804,58.7,124586
20160805,58.7,71951
20160808,59.3,442337
20160809,60.9,49477
20160810,61.6,26776
20160811,61.2,25205
20160812,60.8,16850
20160815,60.5,11227
20160816,60.2,187877
20160817,60.7,42754
20160818,61.1,25080
20160819,60.5,15048
20160822,60.4,70311
20160823,61.3,21845
20160824,62,30970
20160825,62.9,23642
20160826,63.4,22392
20160829,62.8,25633
20160830,62.7,28600
20160831,62.8,35015
20160901,62.4,34560
20160902,65.6,74164
20160905,66.5,40658
20160906,66.5,28891
20160907,66.5,18470
20160908,67.7,36298
20160909,67.3,23065
20160912,65.7,32941
20160913,66.7,34906
20160914,66.8,22434
20160915,67.4,22311
20160916,67.6,39593
20160919,67.2,12957
20160920,66.7,8941
20160921,66.3,9178
20160922,67.1,13781
20160923,66.8,17832
20160926,67.5,22821
20160927,66.4,23267
20160928,66.6,10488
20160929,67.5,32346
20160930,67.8,18367
20161003,68.5,15896
20161004,70.1,40157
20161005,70.8,21194
20161006,69.8,11227
20161007,69.8,16184
20161010,70.6,20232
20161011,70.3,14626
20161012,70.8,10159
20161013,67.8,33433
20161014,67.6,11541
20161017,67.6,19458
20161018,69.2,38734
20161019,68.8,20274
20161020,69,18439
20161021,69.4,22878
20161024,69.4,18399
20161025,71.2,46148
20161026,70,17178
20161027,68.5,16143
20161028,68.5,15316
20161031,68.3,11889
20161101,66.9,11781
20161102,66.5,16689
20161103,66.5,11981
20161104,65.3,4225
20161107,66.1,22308
20161108,66.6,22582
20161109,67.9,23847
20161110,69.1,37052
20161111,70.3,40425
20161114,72.4,30672
20161115,72,35593
20161116,72.1,23580
20161117,72.2,12494
20161118,73.1,25263
20161121,74,24907
20161122,74.1,72026
20161123,72.3,11649
20161124,71.5,11929
20161125,71.2,14551
20161128,71.2,21082
20161129,71.3,16051
20161130,70,74109
20161201,70.2,19458
20161202,69.7,22573
20161205,70.9,16412
20161206,72,17681
20161207,72.7,28713
20161208,73.6,10809
20161209,74,11157
20161212,72.5,22085
20161213,73.3,20340
20161214,75,32838
20161215,75.3,17955
20161216,75.6,78266
20161219,75.7,317927
20161220,76.4,56604
20161221,76.3,71765
20161222,74.8,11518
20161223,76.3,7244
20161227,75.3,9819
20161228,74.2,10049
20161229,73.3,16480
20161230,73.8,16223
20170102,73.5,8904
20170103,75.1,67065
20170104,76.46,26590
20170105,79.98,23761
20170109,78.4,37852
20170110,77.78,35422
20170111,77.6,35774
20170112,77.18,30874
20170113,77.6,22175
20170116,77.1,47427
20170117,77.36,26879
20170118,76.34,47947
20170119,78.48,125744
20170120,78.9,50417
20170123,79.04,50129
20170124,80.32,164071
20170125,80,53271
20170126,80.8,59356
20170127,80.08,25083
20170130,79.18,38601
20170131,80.1,30992
20170201,81.78,120427
20170202,81.7,30293
20170203,81.92,21446
20170206,81,114204
20170207,81,29638
20170208,80.42,27112
20170209,80,34177
20170210,79.8,20208
20170213,79.7,31065
20170214,80,31133
20170215,80.34,21377
20170216,80,27176
20170217,79.6,23684
20170220,79.2,14216
20170221,79.42,129336
20170222,80.22,29688
20170223,80.48,37680
20170224,79.76,33106
20170227,80.04,18594
20170228,79.2,46377
20170301,79.58,39983
20170302,78.9,20638
20170303,74.24,277564
20170306,70.78,357850
20170307,69.44,198867
20170308,70.04,194984
20170309,71,120932
20170310,70.22,63032
20170313,71.1,74378
20170314,71.26,91621
20170315,69.94,85383
20170316,70.16,42776
20170317,70.28,51669
20170320,69.8,143677
20170321,68.08,92969
20170322,67.54,166382
20170323,67.12,58959
20170324,66.5,128115
20170327,66.56,52719
20170328,66.34,35728
20170329,66.46,61876
20170330,66.7,28900
20170331,67.38,59653
20170403,67.6,56680
20170404,70.58,172582
20170405,69.62,78775
20170406,68.76,52077
20170407,68.86,45483
20170410,69.18,35714
20170411,69.42,49957
20170412,69.78,75197
20170413,69.92,18841
20170418,70.66,81528
20170419,72.18,78596
20170420,71.06,128494
20170421,70.62,71003
20170424,70.76,39508
20170425,70.38,29109
20170426,70.6,45639
20170427,70.22,23495
20170428,71.12,55944
20170502,71.92,83261
20170503,71.38,60502
20170504,71.2,47080
20170505,71.68,27655
20170508,70.46,63841
20170509,71.68,35080
20170510,73.64,80918
20170511,72.58,51667
20170512,73.02,28124
20170515,72.88,53678
20170516,73.18,48947
20170517,71.58,54177
20170518,71.16,51293
20170519,71.9,34838
20170522,72.3,39226
20170523,72.5,21439
20170524,73.52,167515
20170526,73.98,63874
20170529,73.14,12626
20170530,72.82,40727
20170531,72.54,52456
20170601,72.9,78518
20170602,74.22,74326
20170605,73.7,17331
20170607,74.46,37074
20170608,73.18,25569
20170609,73.64,32497
20170612,71.26,65252
20170613,72.12,35902
20170614,71.98,47539
20170615,71.8,74693
20170616,72.8,74923
20170619,73.74,16672
20170620,73.38,28721
20170621,72.58,35657
20170622,71.6,19076
20170626,71.34,26643
20170627,71.2,30706
20170628,71.62,27387
20170629,73.82,442572
20170630,73.58,40539
20170703,74,59141
20170704,74,30896
20170705,74.04,16020
20170706,73.6,26759
20170707,74.72,87655
20170710,75.12,30440
20170711,74.44,45708
20170712,75.6,33420
20170713,69.3,248315
20170714,70.26,159282
20170717,69.4,85257
20170718,67.66,57654
20170719,67.62,76026
20170720,66.68,124691
20170721,66.72,60054
20170724,65.96,35357
20170725,67.34,42385
20170726,67.26,52280
20170727,67.36,27202
20170728,66.6,34567
20170731,66.62,44031
20170801,66.92,29801
20170802,67.54,35889
20170803,68,37652
20170804,68.82,33624
20170807,68.54,25062
20170808,68.2,21495
20170809,67.92,83723
20170810,66.54,48210
20170811,65.48,32149
20170814,67.04,28571
20170815,66,130252
20170816,67.02,18601
20170817,65.74,39223
20170818,65,26315
20170821,68.6,152616
20170822,66.66,151338
20170823,66,53486
20170824,65,49810
20170825,66.28,221742
20170828,66.22,19108
20170829,66.78,62897
20170830,66.58,72642
20170831,66.54,63833
20170901,66.5,19142
20170904,66.02,33507
20170905,66.32,26070
20170906,66.3,34242
20170907,66.66,24957
20170908,66.02,38616
20170911,66.4,39733
20170912,66.76,48171
20170913,67.2,22878
20170914,66.86,17303
20170915,66.04,72250
20170918,66.4,31264
20170919,68.2,119567
20170920,67.88,27481
20170921,68.18,20871
20170922,68.06,27383
20170925,68.64,126724
20170926,68.1,20781
20170927,68.6,48008
20170928,68.12,46634
20170929,68.24,36589
20171002,69.18,85185
20171003,68.02,49343
20171004,67.5,57869
20171005,67.76,41135
20171006,67.9,22897
20171009,67.66,31222
20171010,67.22,37241
20171011,66.18,40313
20171012,65.76,48085
20171013,66.32,23807
20171016,65.3,26099
20171017,64.98,50175
20171018,64.94,37738
20171019,60.3,238444
20171020,61.3,147314
20171023,61,108714
20171024,61.46,87529
20171025,62.4,84771
20171026,63,54230
20171027,63.06,28105
20171030,63.3,38692
20171031,63.1,35110
20171101,65.54,148854
20171102,66.64,70694
20171103,67,40649
20171106,65.7,50617
20171107,65,72084
20171108,64.56,56044
20171109,64.18,51133
20171110,64.2,31310
20171113,64.06,35091
20171114,64.66,37320
20171115,65.62,64975
20171116,66.4,59701
20171117,65.28,30840
20171120,65.74,28636
20171121,66.9,48073
20171122,67.66,66625
20171123,67.2,20875
20171124,67.02,28936
20171127,66.66,21100
20171128,68.02,56856
20171129,69.8,52106
20171130,70.58,90106
20171201,69.98,54025
20171204,68.94,30217
20171205,69.3,33307
20171206,69.56,40663
20171207,68.96,35736
20171208,69.38,44617
20171211,70.46,57350
20171212,70.5,21055
20171213,70.36,30441
20171214,70,43204
20171215,70.3,33271
20171218,71.8,59957
20171219,73.46,110965
20171220,72.92,66485
20171221,73.48,35797
20171222,68.2,362798
20171227,68.16,83756
20171228,68.64,33995
20171229,68.82,42162
20180102,69.96,52861
20180103,70.4,38213
20180104,71.4,77247
20180105,72.44,61132
20180108,74.04,148047
20180109,75.92,98078
20180110,74.8,306952
20180111,74.68,71200
20180112,76.76,181727
20180115,78.08,72564
20180116,77.76,101060
20180117,76.8,57110
20180118,88,1047579
20180119,81.72,368840
20180122,84.76,191983
20180123,86.64,166261
20180124,86.88,71447
20180125,87.32,61638
20180126,88.2,42129
20180129,86.48,79740
20180130,87.44,109103
20180131,88.56,250896
20180201,88.88,71131
20180202,90.04,86879
20180205,88.36,91225
20180206,85.96,131388
20180207,89.28,73624
20180208,90.28,110644
20180209,89,67199
20180212,91.04,48245
20180213,91.4,78398
20180214,94.6,108590
20180215,95.52,87457
20180216,95.68,74488
20180219,94.96,57102
20180220,95.2,68457
20180221,96.04,96004
20180222,96.04,64704
20180223,95.88,50605
20180226,95.92,59727
20180227,96.72,72511
20180228,95.72,42759
20180301,94.12,48511
20180302,90.04,107511
20180305,92,38025
20180306,91.88,40985
20180307,93.4,66308
20180308,94.56,41604
20180309,92.92,62062
20180312,93.04,44886
20180313,92.4,54429
20180314,93.28,62817
20180315,92.84,61917
20180316,91.36,70813
20180319,90,93799
20180320,90,70501
20180321,90.24,110056
20180322,87.4,99917
20180323,89,127356
20180326,88.4,100663
20180327,87.88,41853
20180328,86.68,64213
20180329,88.04,42956
20180403,86.04,68292
20180404,83.48,92591
20180405,83.2,116291
20180406,82,103006
20180409,81.2,137574
20180410,81,60721
20180411,80.4,96484
20180412,81.04,61854
20180413,81.04,63521
20180416,81.12,63855
20180417,83,116893
20180418,81.36,96407
20180419,81,192135
20180420,81.48,105601
20180423,82.52,42809
20180424,82,69172
20180425,82,44008
20180426,82.92,83556
20180427,83.36,48185
20180430,82.56,45995
20180502,85.48,102322
20180503,84.4,123001
20180504,84.08,28791
20180507,84,18914
20180508,85.24,20786
20180509,87.4,34600
20180511,87.44,75218
20180514,87.6,63880
20180515,87.28,48093
20180516,87.16,24504
20180517,88.36,48777
20180518,88.72,28090
20180521,89.84,34946
20180522,88.52,155021
20180523,88.6,32506
20180524,87.8,22237
20180525,86.4,61673
20180528,86.24,16611
20180529,85.76,39902
20180530,86,49366
20180531,88.88,137204
20180604,90,45626
20180605,90.8,49040
20180607,92.48,51064
20180608,92.4,45946
20180611,93.36,35467
20180612,93.36,34652
20180613,93.28,45516
20180614,95,52152
20180615,94.44,71855
20180618,94.72,35658
20180619,94.24,48378
20180620,94.88,60344
20180621,94.88,95581
20180625,95.4,121863
20180626,96.56,134381
20180627,92.6,147127
20180628,91.52,43533
20180629,92,54022
20180702,91.6,48899
20180703,92.64,102791
20180704,88.2,170442
20180705,88.64,89378
20180706,87.68,51398
20180709,88.88,50526
20180710,88.76,56653
20180711,86.6,83870
20180712,78.64,481725
20180713,77.4,207983
20180716,76.8,131346
20180717,77.4,92749
20180718,77.48,83943
20180719,78,63605
20180720,78,57007
20180723,78.12,60814
20180724,79.44,70848
20180725,79.16,58525
20180726,81.32,73900
20180727,80.28,36273
20180730,79.32,38429
20180731,81,59288
