Date,Close,Turnover volume
20190924,90,49017829
20190925,85,9508801
20190926,84.85,1690002
20190927,84.45,756087
20190930,87.47,1236618
20191001,85.9,1343608
20191002,85,1447958
20191003,86.14,1219441
20191004,87.86,1166005
20191007,85.9,916510
20191008,84.5,931582
20191009,86.68,288506
20191010,88,348778
20191011,90,1044205
20191014,89.42,316563
20191015,88.8,452493
20191016,86.72,355759
20191017,86.62,594012
20191018,87.9,242593
20191021,88,208078
20191022,88.92,507953
20191023,89.48,266252
20191024,88.36,231767
20191025,88.04,122431
20191028,88.6,730298
20191029,89.82,400849
20191030,91.9,715422
20191031,92.64,753173
20191101,93.4,161051
20191104,95.2,1688198
20191105,97.68,1063245
20191106,97.3,551445
20191107,99.76,430776
20191108,100,541686
20191111,104.8,1405973
20191112,105.35,2317094
20191113,107.45,1179585
20191114,106,749667
20191115,103.5,901146
20191118,103.75,626918
20191119,104.65,621604
20191120,105.45,775458
20191121,105.8,837227
20191122,103.75,707960
20191125,105.2,585626
20191126,106.15,643481
20191127,106.8,432358
20191128,107,1321479
20191129,112.7,11640975
20191202,112.7,1174468
20191203,113.95,1533112
20191204,111.2,1417316
20191205,111.25,995428
20191206,111.45,1027001
20191209,111.65,568236
20191210,110.3,640098
20191211,108.5,780877
20191212,107.65,826543
20191213,105.4,1188453
20191216,101.5,1598716
20191217,103.55,1038792
20191218,103.4,358531
20191219,106.5,789860
20191220,107.8,3131515
20191223,107.2,440781
20191227,108,335087
20191230,108.9,1000000
20200102,110.2,407529
20200103,110.3,460267
20200107,113,903821
20200108,113.8,1352746
20200109,115.8,1498801
20200110,118.1,979610
20200113,119.15,1246296
20200114,119.4,1397830
20200115,121.25,1285934
20200116,123.8,1178631
20200117,124.75,1557739
20200120,126.3,1056952
20200121,126.8,1024961
20200122,129.1,1681191
20200123,124.3,2692050
20200124,122,2634833
20200127,121.95,1231489
20200128,123.2,1083482
20200129,124.75,647620
20200130,121.7,934530
20200131,122.3,1267398
20200203,123.8,1206394
20200204,127.5,1042536
20200205,129.26,1425804
20200206,129.8,857345
20200207,131.45,1226008
20200210,130.9,1099545
20200211,131.35,1421530
20200212,137.6,2595705
20200213,145.9,1794925
20200214,147.9,1861688
20200217,153.45,1829916
20200218,158.45,1772880
20200219,161.35,1629799
20200220,159.05,1906229
20200221,158.5,1193947
20200224,153,2146555
20200225,151.1,1153477
20200226,150.45,1687450
20200227,145.75,1582027
20200228,140.15,2519337
20200302,142.75,2545566
20200303,151.8,2644888
20200304,156.15,2068385
20200305,158.8,1384566
20200306,144.65,3145693
20200309,131.9,3119317
20200310,129.9,2422811
20200311,120.5,2515750
20200312,103.95,6692412
20200313,114,5348785
20200316,97.88,4694910
20200317,97.34,2245930
20200318,79,4463712
20200319,89,3239192
20200320,100.6,11084430
20200323,95.82,2459691
20200324,104.5,1637683
20200325,113,2220282
20200326,119.7,1616655
20200327,121.1,1580970
20200330,112.55,2003232
20200331,118.5,1785927
20200401,111.55,1568744
20200402,111.2,1286924
20200403,113.45,958743
20200406,121.95,1256652
20200407,125,1716421
20200408,132.2,1617680
20200409,131.4,947094
20200414,131.1,997072
20200415,123.75,1460076
20200416,123,967899
20200417,128.45,1274548
20200420,129.75,1688231
20200421,125,1360971
20200422,125.65,1104425
20200423,127.1,1061541
20200424,129.85,2141672
20200427,128.75,1367955
20200428,128,1347242
20200429,131.6,1456799
20200430,136.4,643657
20200504,125.2,1699357
20200505,131.95,1603551
20200506,132.95,1143444
20200507,144.3,1752439
20200508,151.1,1553816
20200511,150.8,1719568
20200512,157.95,1421661
20200513,151.35,1817126
20200514,140.55,1722732
20200515,142.25,831123
20200518,150.1,846410
20200519,156.1,1334513
20200520,157.45,799331
20200522,150.2,1518413
20200525,154.75,1374555
20200526,149.55,1853512
20200527,143.95,2617311
20200528,144.4,1856637
20200529,148.95,22161291
20200601,153.4,1505008
20200602,157.7,1807161
20200603,160.4,1710009
20200604,169.9,2185873
20200605,182.2,3310400
20200608,178,1869472
20200609,167.3,2123555
20200610,163.3,1904857
20200611,154.35,1909319
20200612,151.3,1450500
20200615,156.15,1249757
20200616,160,1710250
20200617,159.15,761417
20200618,162.2,1505749
20200622,163.2,1137689
20200623,159.2,1711955
20200624,156.65,1182845
20200625,159.7,935144
20200626,159.75,490747
20200629,160.5,473056
20200630,167.15,1631264
20200701,165.9,1088037
20200702,176,933098
20200703,177.15,958225
20200706,184.45,908594
20200707,183.9,609054
20200708,182.5,647778
20200709,181.55,786256
20200710,184.4,649029
20200713,188.5,600826
20200714,184.05,812416
20200715,195.25,1428641
20200716,189,1284407
20200717,197.65,1164880
20200720,198.45,664020
20200721,199.9,994238
20200722,214.9,1372971
20200723,222.1,1885968
20200724,205.8,1469454
20200727,205.3,966954
20200728,208.4,703977
