Date,Close,Turnover volume
20150729,24.75,32858
20150730,24.8,32741
20150731,25.2,54651
20150803,25.25,169049
20150804,25.15,44275
20150805,25.6,169327
20150806,25.45,57198
20150807,25.4,46185
20150810,25.8,194283
20150811,26.65,102353
20150812,26.3,55217
20150813,27.3,78957
20150814,28,135263
20150817,29,206229
20150818,28.2,237920
20150819,28.5,78544
20150820,29.75,136364
20150821,28.95,105541
20150824,27.4,172598
20150825,28.5,104861
20150826,29.8,105410
20150827,38,765109
20150828,40,932717
20150831,41.8,344052
20150901,41.4,192417
20150902,40.4,155229
20150903,42.6,223255
20150904,42.4,85704
20150907,46.8,278007
20150908,45.6,251827
20150909,44.2,167313
20150910,42.4,208837
20150911,42.3,80816
20150914,41.3,150759
20150915,41.1,109523
20150916,41.6,77112
20150917,44.2,162167
20150918,43.5,140341
20150921,45,66008
20150922,44.8,108335
20150923,43.7,82563
20150924,42.6,96223
20150925,47.7,347041
20150928,52.2,569789
20150929,50.6,140226
20150930,53.5,125089
20151001,48.3,826232
20151002,47.4,429431
20151005,46.6,231116
20151006,45.9,588347
20151007,45.5,140236
20151008,48.8,168437
20151009,49,139306
20151012,46.7,236303
20151013,47.4,213126
20151014,46.8,66038
20151015,47.7,253728
20151016,47.4,127562
20151019,48,148270
20151020,49.4,151019
20151021,51.6,224048
20151022,53.4,340609
20151023,50.8,447626
20151026,47.8,264979
20151027,48.9,256379
20151028,47.6,194328
20151029,46.6,100041
20151030,47.9,109925
20151102,49.3,158389
20151103,48.7,63734
20151104,48.2,87237
20151105,48.7,108235
20151106,49.3,69342
20151109,48.6,59446
20151110,47.6,57285
20151111,47.2,160137
20151112,48.4,80014
20151113,48.6,94295
20151116,48.2,70597
20151117,49.1,79070
20151118,49.1,46643
20151119,50.5,160423
20151120,51,150649
20151123,53.2,202476
20151124,52,77964
20151125,52,81579
20151126,52.1,72695
20151127,52.6,38556
20151130,58.2,623438
20151201,59.9,224592
20151202,61.6,200791
20151203,61.4,163678
20151204,62.2,77120
20151207,62.9,150890
20151208,61.4,97059
20151209,62.3,122301
20151210,59.2,102094
20151211,60,67562
20151214,56.6,118497
20151215,56.6,118497
20151219,58.6,64728
20151221,58.6,64728
20151224,57.9,60747
20151228,57.9,60747
20151231,61.3,48210
20160104,61.3,48210
20160106,57.6,53717
20160107,57.6,53717
20160109,53.8,72569
20160111,52.8,134440
20160112,52.3,64506
20160113,53.9,103253
20160114,53.6,127243
20160115,52.7,113691
20160118,52.1,110394
20160119,54.8,100676
20160120,54.1,77673
20160121,53.4,50733
20160122,56.7,68429
20160125,57.4,80518
20160126,57.7,36462
20160127,59.8,105889
20160128,60.6,158005
20160129,60.6,39184
20160201,60.5,37808
20160202,59.4,77418
20160203,59.5,121393
20160204,60.4,134471
20160205,58.1,105684
20160208,50,370267
20160209,45,514789
20160210,51.8,257439
20160211,51.2,144984
20160212,54.8,58071
20160215,54,140307
20160216,55.9,189917
20160217,59.6,161216
20160218,59.4,84866
20160219,57.6,109861
20160222,57.4,49460
20160223,56.8,58833
20160224,56.4,88283
20160225,56.4,51123
20160226,55,52812
20160229,56.8,57936
20160301,57,76383
20160302,58.5,66800
20160303,56.4,296165
20160304,57.4,63844
20160307,57,21089
20160308,56.7,44298
20160309,56.8,27885
20160310,57,51017
20160311,57.4,63157
20160314,57.3,45443
20160315,56.1,34768
20160316,57.4,25551
20160317,57,45268
20160318,56.8,68147
20160321,56,334641
20160322,55.6,44749
20160323,55,38640
20160324,55.2,18747
20160329,54.6,33444
20160330,57,62308
20160331,56.7,46124
20160401,57.2,26914
20160404,57.8,28936
20160405,56.5,29428
20160406,57.9,23515
20160407,56.7,15073
20160408,57.4,60383
20160411,57.6,16676
20160412,59.9,42490
20160413,60,52322
20160414,59.2,39878
20160415,57.7,42528
20160418,57.4,35593
20160419,59.3,70094
20160420,60.4,66993
20160421,60.6,43239
20160422,60.1,27369
20160425,58.9,45968
20160426,60.1,31034
20160427,58.6,218408
20160428,59.7,119696
20160429,57.6,144569
20160502,57,56803
20160503,56.4,37375
20160504,56.5,22028
20160506,55.5,127572
20160509,56.8,41063
20160510,55.9,31060
20160511,55.8,86306
20160512,54.6,71586
20160513,55.3,55706
20160516,55.5,83539
20160517,54.3,55396
20160518,54.4,44994
20160519,53.2,55865
20160520,54.4,58837
20160523,55.3,47217
20160524,55.7,86069
20160525,58.1,63225
20160526,57.8,33938
20160527,57.6,62275
20160530,58,47498
20160531,56.7,273367
20160601,57.8,52773
20160602,57.5,40819
20160603,57.6,34621
20160607,57.6,84252
20160608,57,40578
20160609,56.2,47891
20160610,53.8,57761
20160613,51.4,98168
20160614,50.6,93873
20160615,50.7,43989
20160616,48.4,90783
20160617,48.6,113665
20160620,51.9,98163
20160621,52.7,79411
20160622,52,71412
20160623,53.5,55760
20160627,47.3,181674
20160628,46.2,272665
20160629,49.2,119684
20160630,50.7,115208
20160701,51,56394
20160704,51.3,41977
20160705,50.4,42745
20160706,48.4,43146
20160707,49.6,24324
20160708,50.3,28746
20160711,50.9,92938
20160712,49.6,103714
20160713,51.8,110180
20160714,50.9,70427
20160715,49.8,81332
20160718,50.6,79681
20160719,50.2,39719
20160720,51.2,77169
20160721,51.8,44891
20160722,52.4,37844
20160725,52.7,35574
20160726,51.3,20836
20160727,52.1,48613
20160728,50.2,42760
20160729,49.2,48866
20160801,49.2,28980
20160802,48.2,33466
20160803,47.3,36926
20160804,48,66428
20160805,48.4,52464
20160808,53,202823
20160809,54,86374
20160810,54.4,47972
20160811,55.1,30700
20160812,53.9,36757
20160815,53.5,42467
20160816,53.3,31648
20160817,51,475395
20160818,52.1,86655
20160819,51,131449
20160822,50.6,107518
20160823,50.1,77747
20160824,50.2,104317
20160825,49.8,88567
20160826,49.9,120876
20160829,52,105755
20160830,51.3,124558
20160831,51.6,128133
20160901,52.5,97292
20160902,52.6,96787
20160905,54.8,120431
20160906,56,93107
20160907,55.4,114163
20160908,54.9,64140
20160909,53.6,72976
20160912,53,54159
20160913,51.8,64677
20160914,52.3,49552
20160915,52.4,27623
20160916,51.2,115325
20160919,54.7,146664
20160920,55.8,85344
20160921,55.5,90032
20160922,57.3,122104
20160923,56.1,49907
20160926,54.6,53167
20160927,54.6,72742
20160928,55.4,63321
20160929,55.3,44952
20160930,55.9,47637
20161003,56.5,66017
20161004,56.7,50132
20161005,56.2,113663
20161006,55.5,92459
20161007,54.3,56685
20161010,53.9,64311
20161011,52.6,88407
20161012,52.1,137588
20161013,52.4,97682
20161014,54,71316
20161017,54,240289
20161018,53.8,56394
20161019,54.4,44962
20161020,55.4,72387
20161021,54.5,52830
20161024,56.4,68223
20161025,52.6,386940
20161026,53.1,142289
20161027,52.1,100594
20161028,51.5,147691
20161031,52.1,63348
20161101,51.2,38637
20161102,50,115869
20161103,50.6,61125
20161104,49.9,21466
20161107,50.6,82468
20161108,50,70162
20161109,49.2,91540
20161110,49.1,81570
20161111,48.4,58082
20161114,47.8,51127
20161115,48,59717
20161116,49.6,40401
20161117,50,32079
20161118,51.4,41763
20161121,51,329680
20161122,51.6,28594
20161123,51.8,47434
20161124,53.2,79928
20161125,52.8,21538
20161128,53.3,103768
