Date,Close,Turnover volume
20150729,11.5,6860
20150730,11.8,9397
20150731,11.8,15345
20150803,11.7,6736
20150804,11.7,9316
20150805,11.7,9687
20150806,11.5,2461
20150807,11.7,10170
20150810,11.6,9950
20150811,11.6,6838
20150812,11.4,15865
20150813,11.6,9208
20150814,11.4,7205
20150817,11.5,33914
20150818,11.5,22491
20150819,12.2,161505
20150820,12,63806
20150821,12.1,24129
20150824,11.4,175725
20150825,11.6,73814
20150826,11.5,33171
20150827,12,52300
20150828,11.7,33726
20150831,12,37033
20150901,11.5,8647
20150902,11.7,4720
20150903,11.6,22726
20150904,11.8,34794
20150907,11.6,86270
20150908,11.7,16049
20150909,11.7,44435
20150910,11.7,34742
20150911,11.8,7500
20150914,11.6,22626
20150915,11.7,9861
20150916,11.9,26243
20150917,11.8,23299
20150918,11.8,4420
20150921,12,24520
20150922,12,11800
20150923,12,35702
20150924,12,24933
20150925,11.9,23665
20150928,12.1,31505
20150929,11.9,16850
20150930,12,2990
20151001,12.2,33732
20151002,12.1,11900
20151005,12.5,11700
20151006,12,15855
20151007,12.5,51359
20151008,12.7,112381
20151009,12.6,56924
20151012,12.9,14727
20151013,12.9,19710
20151014,13,25566
20151015,13.2,19055
20151016,13.1,35718
20151019,13.2,20925
20151020,13,21960
20151021,14,247947
20151022,14.4,62239
20151023,14,43258
20151026,14.3,46972
20151027,14.5,71587
20151028,14.6,122586
20151029,14.6,40174
20151030,14.7,32659
20151102,14.8,113206
20151103,15,62384
20151104,14.8,77639
20151105,15.3,61105
20151106,15.3,32989
20151109,14.9,70312
20151110,15,38660
20151111,16.1,60394
20151112,16.3,106717
20151113,16.8,37381
20151116,17,44275
20151117,16.9,58514
20151118,17,61793
20151119,17,60242
20151120,16.9,120684
20151123,17.1,60091
20151124,16.8,19632
20151125,16.8,17414
20151126,16.9,24717
20151127,16.9,67473
20151130,17,45567
20151201,16.8,47402
20151202,17.1,20982
20151203,17,30764
20151204,16.8,27794
20151207,16.8,20293
20151208,16.7,53150
20151209,16.9,23742
20151210,16.8,65143
20151211,17,151998
20151214,17,32839
20151215,17,33416
20151216,16.8,9982
20151217,17,14315
20151218,17,15756
20151221,16.8,10298
20151222,16.7,19150
20151223,16.7,20803
20151224,16.7,20803
20151225,16.7,20803
20151228,16.5,36517
20151229,16.7,38042
20151230,16.7,26243
20151231,16.7,26243
20160101,16.7,26243
20160104,16.1,57503
20160105,16,31200
20160106,16,31200
20160107,15.8,31494
20160108,15.9,16813
20160111,15.8,16766
20160112,15.5,55066
20160113,15.6,36521
20160114,16,38891
20160115,15.9,38798
20160118,15.5,11195
20160119,15.7,18986
20160120,15.7,3638
20160121,15.8,23461
20160122,16.5,54649
20160125,16.5,13259
20160126,16.4,17148
20160127,16.7,40945
20160128,16.5,20746
20160129,17,110018
20160201,17,46880
20160202,17.3,18817
20160203,17,26919
20160204,17,15012
20160205,16.8,38712
20160208,17.3,70245
20160209,17.2,82876
20160210,16.9,58783
20160211,15.4,224821
20160212,15.8,137869
20160215,16.1,48807
20160216,16.1,20079
20160217,15.8,30023
20160218,16,56598
20160219,16.2,77931
20160222,16,20944
20160223,15.8,20941
20160224,16,11615
20160225,15.7,19787
20160226,15.9,52473
20160229,16.1,89845
20160301,16.3,83019
20160302,17.1,145882
20160303,17.3,91291
20160304,18,184046
20160307,18,106917
20160308,18.3,118474
20160309,18.2,53121
20160310,18.2,70141
20160311,18.2,130316
20160314,23.9,2366781
20160315,23.6,715894
20160316,23.5,304068
20160317,23.7,353562
20160318,23.5,977996
20160321,23.5,288118
20160322,23.5,426602
20160323,23.5,672507
20160324,23.5,221863
20160325,23.5,221863
20160328,23.5,221863
20160329,23.3,511073
20160330,23.3,770405
20160331,23.4,302196
20160401,23.4,282425
20160404,23.5,287964
20160405,23.5,166433
20160406,23.5,397617
20160407,23.5,271208
20160408,23.5,875311
20160411,23.5,210209
20160412,23.5,74300
