Date,Close,Turnover volume
20150803,112,104574
20150804,112.7,190782
20150805,114.2,168827
20150806,114.2,114249
20150807,114.1,114093
20150810,116.3,172488
20150811,116.7,144542
20150812,114.9,242465
20150813,115.7,155852
20150814,118,257935
20150817,117.8,167188
20150818,116.8,226774
20150819,115.3,165059
20150820,113.4,197150
20150821,111.1,178988
20150824,105.3,455054
20150825,108.4,311486
20150826,106.9,233031
20150827,109.3,160794
20150828,108.5,205519
20150831,108.9,130754
20150901,106.7,238501
20150902,107.6,327216
20150903,110,167860
20150904,109.2,169125
20150907,108.8,93023
20150908,109.9,187788
20150909,111.4,271680
20150910,111.6,180507
20150911,110.5,287691
20150914,109,312065
20150915,107.5,252529
20150916,108,215079
20150917,108.6,363867
20150918,108,938462
20150921,110,185761
20150922,107.5,310664
20150923,109.2,189135
20150924,108.4,346905
20150925,111.2,287617
20150928,109.5,165493
20150929,109.3,204358
20150930,109.5,364387
20151001,106.5,327698
20151002,106.7,289470
20151005,109.8,266221
20151006,110.6,295984
20151007,109.4,281267
20151008,110.5,462048
20151009,111.1,356128
20151012,112.2,379946
20151013,111.6,276284
20151014,110.5,407491
20151015,110.7,181689
20151016,110.4,267210
20151019,111.5,160326
20151020,112.2,170741
20151021,112.6,281631
20151022,114.6,324465
20151023,116.8,316980
20151026,118.2,268219
20151027,117.3,208157
20151028,121.3,378273
20151029,121.7,454745
20151030,121,112887
20151102,121.7,293913
20151103,121.3,271081
20151104,121,340596
20151105,121.6,427391
20151106,121.8,364002
20151109,118.5,1061838
20151110,118.5,252777
20151111,119.6,167941
20151112,118.5,218938
20151113,117.5,134324
20151116,117.5,134324
20151121,122,295176
20151123,122,295176
20151128,121.2,176713
20151130,121.2,176713
20151205,117.3,369607
20151207,117.3,369607
20151212,114.2,237481
20151214,114.2,237481
20151216,117.2,298200
20151217,117.2,298200
20151219,118.6,397181
20151221,118.6,397181
20151224,118.5,156398
20151228,118.5,156398
20151231,119.9,177038
20160104,119.9,177038
20160106,118.2,101059
20160107,118.2,101059
20160109,114.4,236036
20160111,113.2,265896
20160112,114.9,160755
20160113,115,200640
20160114,113.6,310252
20160115,112.4,542827
20160118,110.5,231288
20160119,113.1,340418
20160120,110.3,345815
20160121,110.5,699729
20160122,115.2,363944
20160125,115.3,252636
20160126,116,232098
20160127,114.2,254098
20160128,115.3,219806
20160129,117.7,303877
20160201,119.1,367714
20160202,118.6,240730
20160203,120.7,421939
20160204,119.1,623352
20160205,117,451314
20160208,112.1,393796
20160209,111.6,452021
20160210,114.3,346868
20160211,115.5,526719
20160212,117.7,525832
20160215,120.4,533664
20160216,120.7,494974
20160217,125.3,607481
20160218,125.3,348399
20160219,126,355190
20160222,127.8,417063
20160223,123.1,512350
20160224,122.5,489926
20160225,125.6,216892
20160226,124.8,255632
20160229,125.3,458393
20160301,126.2,243143
20160302,124.1,261006
20160303,124.3,246056
20160304,126.1,269959
20160307,124.8,195317
20160308,123.1,215424
20160309,123.5,238259
20160310,124.2,286350
20160311,126.8,172077
20160314,128.7,248654
20160315,128.7,366430
20160316,130.1,607534
20160317,131,484202
20160318,130,603040
20160321,129.1,450851
20160322,128.1,291942
20160323,127.5,408054
20160324,126.9,65316
20160329,127.3,236157
20160330,128.4,212686
20160331,128.7,249398
20160401,127.8,214838
20160404,127.9,166679
20160405,129.4,415358
20160406,128,342345
20160407,127.3,215751
20160408,128.3,163406
20160411,128.5,164113
20160412,128.3,258420
20160413,125.6,491480
20160414,123.7,281432
20160415,124,255311
20160418,123.8,272448
20160419,124.4,319543
20160420,124.9,274123
20160421,123.7,305477
20160422,122.3,377038
20160425,123.7,173277
20160426,125.3,234464
20160427,126.6,227977
20160428,125.7,319877
20160429,124.4,324935
20160502,126.2,141921
20160503,125,249423
20160504,126.2,94163
20160506,127.7,344165
20160509,129,227958
20160510,128.4,164169
20160511,127.3,393623
20160512,126.4,199526
20160513,126.8,227982
20160516,127.1,79295
20160517,127.3,209461
20160518,126.4,169484
20160519,125.6,134077
20160520,127.1,139459
20160523,127.6,172771
20160524,129.7,176152
20160525,129.4,224638
20160526,130,235579
20160527,130.6,172572
20160530,130.5,62567
20160531,129.1,420340
20160601,130.8,224283
20160602,130.3,145972
20160603,130.6,236626
20160607,131.2,286582
20160608,132.3,172039
20160609,132.3,202503
20160610,130.7,219111
20160613,127.9,186898
20160614,125,157611
20160615,125.4,185493
20160616,123.2,150208
20160617,124.2,208533
20160620,126.9,127044
20160621,130.1,406248
20160622,129.8,320429
20160623,131.3,151214
20160627,124.6,316218
20160628,126.8,279527
20160629,131.2,263627
20160630,132.1,364968
20160701,134.1,219651
20160704,133.9,100904
20160705,133.4,176199
20160706,130.8,186982
20160707,131.5,197831
20160708,134.1,272648
20160711,136.9,123417
20160712,136.3,266228
20160713,136.8,147866
20160714,136.6,125190
20160715,135.3,134681
20160718,136.5,137547
20160719,137.7,128105
20160720,139.3,142184
20160721,139,253758
20160722,139.4,205645
20160725,140.7,151045
20160726,140.7,149697
20160727,140.5,162047
20160728,141.3,299494
20160729,142.9,205684
20160801,144.5,205754
20160802,143.9,196745
20160803,140.6,164697
20160804,142.9,217912
