Date,Close,Turnover volume
20160531,44.4,3970944
20160601,54.5,1789841
20160602,57.25,1349233
20160603,54.5,839140
20160607,56.5,316673
20160608,53,320254
20160609,49.8,390593
20160610,49.3,651966
20160613,46.9,258996
20160614,45,268081
20160615,46,100386
20160616,44.3,140602
20160617,45,52011
20160620,47.4,140049
20160621,52.25,1926684
20160622,52.25,198672
20160623,52.5,73288
20160627,49.5,214412
20160628,50.75,79754
20160629,52,102465
20160630,51.75,117798
20160701,51.75,69286
20160704,53,70580
20160705,52,26375
20160706,50.75,41595
20160707,52,13673
20160708,51.75,30947
20160711,52,26536
20160712,51.25,22383
20160713,51.75,32784
20160714,51.75,36760
20160715,51.25,70694
20160718,51.25,30343
20160719,51.5,31579
20160720,52.75,46302
20160721,54,73198
20160722,54,26856
20160725,56.25,85371
20160726,59,138749
20160727,60.5,149814
20160728,59.5,63762
20160729,60,39910
20160801,60,59997
20160802,59.25,49575
20160803,59,26172
20160804,59,31509
20160805,59.5,23450
20160808,60.75,80090
20160809,60,61241
20160810,59.75,31325
20160811,59.75,39395
20160812,60.25,19572
20160815,60.25,57670
20160816,60.75,40636
20160817,61,33341
20160818,61.5,44639
20160819,61.5,34004
20160822,65.25,90184
20160823,64.25,106834
20160824,65.25,95426
20160825,61.25,601459
20160826,60.5,226905
20160829,57.5,310383
20160830,55.25,491854
20160831,55.5,195494
20160901,57.5,101649
20160902,56.25,80854
20160905,54.5,169792
20160906,54.25,69722
20160907,54.75,68929
20160908,54,77361
20160909,54,41635
20160912,52.75,69125
20160913,52.25,63557
20160914,52,37848
20160915,52.5,73907
20160916,53.25,62333
20160919,53,72495
20160920,52.75,31128
20160921,52.5,67553
20160922,53.5,62028
20160923,53.75,52614
20160926,53,24536
20160927,51.75,44525
20160928,51.25,52983
20160929,51.25,37625
20160930,51,74872
20161003,50.5,87400
20161004,50.5,43583
20161005,50.75,30321
20161006,50.25,28175
20161007,50,52160
20161010,49.2,63507
20161011,48.5,35967
20161012,47.4,103363
20161013,47.8,99933
20161014,50.25,74073
20161017,49.5,45183
20161018,52.5,72437
20161019,51.25,25905
20161020,50.5,26417
20161021,51.5,36153
20161024,50.25,44957
20161025,50,35296
20161026,49.5,25369
20161027,49.3,25903
20161028,49,64878
20161031,48.2,43602
20161101,49.1,42123
20161102,49.2,24556
20161103,49.8,34844
20161104,51,42106
20161107,49.8,48492
20161108,49.1,51080
20161109,49.5,61137
20161110,49.8,40368
20161111,51.5,79362
20161114,48.9,237355
20161115,47.9,76006
20161116,47.9,251479
20161117,48.6,79139
20161118,49.4,48314
20161121,50.5,127242
20161122,51.5,58539
20161123,51.25,56481
20161124,51.25,42804
20161125,50,26042
20161128,48.7,21684
20161129,48.9,20329
20161130,48.7,15781
20161201,48.6,54694
20161202,48.2,28443
20161205,50.5,117928
20161206,49.9,32678
20161207,49.3,22997
20161208,48.6,29028
20161209,48.6,56516
20161212,49.7,27164
20161213,50.25,55894
20161214,50.25,29189
20161215,50.25,36654
20161216,51.25,44119
20161219,50.75,21230
20161220,51,27447
20161221,50.5,36204
20161222,50.5,24652
20161223,51,30357
20161227,50.75,14208
20161228,51,20917
20161229,50.75,20050
20161230,50.75,18916
20170102,51.5,26253
20170103,52,38315
20170104,52.25,17382
20170105,52.5,12457
20170109,52.25,27183
20170110,52.5,21983
20170111,52.25,20852
20170112,52,21141
20170113,52.5,11776
20170116,52.25,22748
20170117,52.25,10682
20170118,52,16214
20170119,51.5,21492
20170120,52.5,18019
20170123,54,45971
20170124,55.25,39538
20170125,54.75,32018
20170126,54.75,22278
20170127,53.75,30453
20170130,53,19986
20170131,52.25,20824
20170201,53.5,19100
20170202,53.25,21480
20170203,55,56362
20170206,54.5,28729
20170207,52.5,63950
20170208,53.5,21359
20170209,53.5,15813
20170210,54.25,21885
20170213,55,115159
20170214,58,419583
20170215,59.75,124149
20170216,59.5,83911
20170217,58.75,42789
20170220,58.5,63374
20170221,59.25,59704
20170222,59.5,45937
20170223,56.25,8823572
20170224,55,218375
